Date,Marketcap(USD),Price(USD)
21-01-2017,22171400,0.000208
22-01-2017,22461600,0.000207
23-01-2017,22104300,0.000208
24-01-2017,22428500,0.000202
25-01-2017,21874100,0.000204
26-01-2017,21979000,0.000208
27-01-2017,22445100,0.000204
28-01-2017,22554000,0.000209
29-01-2017,22555000,0.000204
30-01-2017,21996900,0.000208
31-01-2017,22496400,0.000206
01-02-2017,22754900,0.000209
02-02-2017,22879700,0.000211
03-02-2017,22790800,0.000213
04-02-2017,23012200,0.000211
05-02-2017,22840200,0.000211
06-02-2017,22728300,0.000214
07-02-2017,22880800,0.000208
08-02-2017,22855700,0.000211
09-02-2017,22436400,0.000204
10-02-2017,22007800,0.000208
11-02-2017,22505900,0.00021
12-02-2017,22688800,0.000208
13-02-2017,22754200,0.000208
14-02-2017,22473400,0.000209
15-02-2017,22516800,0.000209
16-02-2017,22635500,0.000207
17-02-2017,22420700,0.000209
18-02-2017,22566400,0.000197
19-02-2017,21283200,0.000208
20-02-2017,22491300,0.000207
21-02-2017,22741500,0.000208
22-02-2017,22564000,0.000202
23-02-2017,21831400,0.000208
24-02-2017,22484400,0.000208
25-02-2017,22092400,0.0002
26-02-2017,21666300,0.000203
27-02-2017,22342300,0.000208
28-02-2017,22134400,0.000205
01-03-2017,22279600,0.000203
02-03-2017,22238800,0.000206
03-03-2017,22232700,0.000211
04-03-2017,22878400,0.000205
05-03-2017,22162200,0.000206
06-03-2017,22762600,0.00021
07-03-2017,22346300,0.000209
08-03-2017,22643100,0.000208
09-03-2017,22451000,0.000211
10-03-2017,22864300,0.000204
11-03-2017,22209200,0.000211
12-03-2017,22957500,0.000229
13-03-2017,24592300,0.000247
14-03-2017,26182600,0.000238
15-03-2017,25820600,0.000243
16-03-2017,26181600,0.000235
17-03-2017,25505900,0.000223
18-03-2017,24241700,0.000219
19-03-2017,23804000,0.000235
20-03-2017,25573500,0.000236
21-03-2017,24666900,0.000246
22-03-2017,26640300,0.000243
23-03-2017,25981500,0.000242
24-03-2017,26269700,0.000264
25-03-2017,28726800,0.000298
26-03-2017,32354300,0.000272
27-03-2017,30181600,0.000254
28-03-2017,26824700,0.000273
29-03-2017,30343700,0.000272
30-03-2017,30229500,0.000304
31-03-2017,33095800,0.000328
01-04-2017,36208400,0.000335
02-04-2017,36569400,0.000489
03-04-2017,53320000,0.000427
04-04-2017,47001200,0.000432
05-04-2017,47651800,0.000442
06-04-2017,47611700,0.00045
07-04-2017,49634000,0.000398
08-04-2017,43374600,0.000432
09-04-2017,46844000,0.000381
10-04-2017,41439300,0.0004
11-04-2017,43149100,0.00039
12-04-2017,42298500,0.000414
13-04-2017,45210200,0.000425
14-04-2017,47004900,0.000426
15-04-2017,46292800,0.000418
16-04-2017,45481800,0.000454
17-04-2017,49408700,0.000459
18-04-2017,50788400,0.000459
19-04-2017,49657500,0.000448
20-04-2017,48850300,0.000443
21-04-2017,48022200,0.000451
22-04-2017,49771600,0.000464
23-04-2017,51021700,0.000522
24-04-2017,57331500,0.000515
25-04-2017,55755400,0.000527
26-04-2017,58215800,0.000544
27-04-2017,59886000,0.000632
28-04-2017,68183600,0.000678
29-04-2017,74145500,0.000734
30-04-2017,80307300,0.000746
01-05-2017,81468000,0.000686
02-05-2017,75180000,0.00061
03-05-2017,66702500,0.000678
04-05-2017,74923900,0.000744
05-05-2017,80558300,0.00084
06-05-2017,91395400,0.001169
07-05-2017,128440000,0.001305
08-05-2017,145861000,0.001521
09-05-2017,167293000,0.001239
10-05-2017,136962000,0.001239
11-05-2017,135097000,0.001212
12-05-2017,132851000,0.001183
13-05-2017,129896000,0.001184
14-05-2017,130990000,0.001274
15-05-2017,139473000,0.001128
16-05-2017,122785000,0.001059
17-05-2017,116789000,0.001318
18-05-2017,144198000,0.001508
19-05-2017,165437000,0.001518
20-05-2017,165349000,0.0019
21-05-2017,209088000,0.003062
22-05-2017,338842000,0.003405
23-05-2017,368587000,0.003562
24-05-2017,387970000,0.003659
25-05-2017,405386000,0.002994
26-05-2017,323102000,0.002424
27-05-2017,265906000,0.002541
28-05-2017,282965000,0.002579
29-05-2017,277206000,0.002732
30-05-2017,299563000,0.002623
31-05-2017,289240000,0.002657
01-06-2017,292109000,0.002867
02-06-2017,315459000,0.003026
03-06-2017,331309000,0.003251
04-06-2017,359497000,0.003179
05-06-2017,349963000,0.003873
06-06-2017,423202000,0.003741
07-06-2017,412874000,0.003302
08-06-2017,359746000,0.003574
09-06-2017,392350000,0.003453
10-06-2017,376324000,0.003313
11-06-2017,362883000,0.003601
12-06-2017,395498000,0.003253
13-06-2017,356729000,0.003313
14-06-2017,362873000,0.003092
15-06-2017,340402000,0.003043
16-06-2017,334129000,0.003163
17-06-2017,344327000,0.003322
18-06-2017,366286000,0.00323
19-06-2017,353665000,0.003141
20-06-2017,346509000,0.003218
21-06-2017,353662000,0.003125
22-06-2017,343493000,0.003104
23-06-2017,340788000,0.003143
24-06-2017,345058000,0.003135
25-06-2017,344008000,0.002961
26-06-2017,325221000,0.00275
27-06-2017,302422000,0.002623
28-06-2017,289857000,0.002793
29-06-2017,306604000,0.002656
30-06-2017,291970000,0.002602
01-07-2017,286202000,0.002645
02-07-2017,290316000,0.002481
03-07-2017,271502000,0.002533
04-07-2017,278109000,0.002518
05-07-2017,275630000,0.002714
06-07-2017,298461000,0.002636
07-07-2017,289483000,0.002397
08-07-2017,262709000,0.00244
09-07-2017,268949000,0.00233
10-07-2017,257476000,0.001952
11-07-2017,215422000,0.001779
12-07-2017,193756000,0.001938
13-07-2017,215799000,0.001823
14-07-2017,201256000,0.001681
15-07-2017,184626000,0.001484
16-07-2017,163536000,0.001307
17-07-2017,143649000,0.00152
18-07-2017,167900000,0.001864
19-07-2017,206152000,0.001689
20-07-2017,186769000,0.001935
21-07-2017,215575000,0.001936
22-07-2017,213547000,0.002095
23-07-2017,231318000,0.001972
24-07-2017,217717000,0.00198
25-07-2017,220428000,0.001773
26-07-2017,195612000,0.00181
27-07-2017,199824000,0.001856
28-07-2017,204834000,0.001782
29-07-2017,195680000,0.001768
30-07-2017,195548000,0.001719
31-07-2017,189192000,0.001718
01-08-2017,189885000,0.001792
02-08-2017,197778000,0.001788
03-08-2017,197252000,0.001795
04-08-2017,198227000,0.00182
05-08-2017,200771000,0.002087
06-08-2017,230572000,0.001909
07-08-2017,212162000,0.001949
08-08-2017,215522000,0.001961
09-08-2017,216828000,0.001937
10-08-2017,214427000,0.001896
11-08-2017,209736000,0.00188
12-08-2017,207562000,0.001856
13-08-2017,204951000,0.001807
14-08-2017,199947000,0.001762
15-08-2017,194475000,0.001738
16-08-2017,191631000,0.001774
17-08-2017,197062000,0.00171
18-08-2017,189431000,0.001678
19-08-2017,186102000,0.001678
20-08-2017,184872000,0.001707
21-08-2017,187472000,0.001712
22-08-2017,189739000,0.001716
23-08-2017,189961000,0.001732
24-08-2017,191700000,0.001816
25-08-2017,200302000,0.00179
26-08-2017,197996000,0.001778
27-08-2017,197144000,0.001759
28-08-2017,195535000,0.001825
29-08-2017,201934000,0.001867
30-08-2017,206446000,0.002105
31-08-2017,233165000,0.002064
01-09-2017,228828000,0.002543
02-09-2017,283530000,0.002226
03-09-2017,250960000,0.002153
04-09-2017,240619000,0.001786
05-09-2017,199722000,0.001908
06-09-2017,212082000,0.002019
07-09-2017,223683000,0.001927
08-09-2017,214193000,0.001596
09-09-2017,176045000,0.001568
10-09-2017,174632000,0.001395
11-09-2017,155068000,0.001463
12-09-2017,162702000,0.00144
13-09-2017,160088000,0.001398
14-09-2017,153663000,0.000854
15-09-2017,94627800,0.000865
16-09-2017,94157100,0.000867
17-09-2017,96331000,0.000853
18-09-2017,94836200,0.000947
19-09-2017,104410000,0.00089
20-09-2017,97923500,0.000862
21-09-2017,94429700,0.000755
22-09-2017,84749600,0.000772
23-09-2017,85765900,0.000954
24-09-2017,104499000,0.000892
25-09-2017,99009800,0.001141
26-09-2017,126878000,0.001151
27-09-2017,125975000,0.001173
