Date,Marketcap(USD),Price(USD)
02-02-2017,202147000,4.09
03-02-2017,202531000,4.08
04-02-2017,202727000,4.06
05-02-2017,201824000,4.04
06-02-2017,201525000,4.04
07-02-2017,201352000,4.04
08-02-2017,201226000,4.02
09-02-2017,200288000,3.8
10-02-2017,188981000,3.78
11-02-2017,187849000,3.79
12-02-2017,188829000,3.76
13-02-2017,187506000,3.72
14-02-2017,184921000,3.77
15-02-2017,187657000,3.81
16-02-2017,189087000,3.79
17-02-2017,188226000,3.83
18-02-2017,190755000,3.79
19-02-2017,189049000,3.76
20-02-2017,187912000,3.77
21-02-2017,187718000,3.78
22-02-2017,188961000,3.81
23-02-2017,189631000,3.84
24-02-2017,191226000,3.85
25-02-2017,192344000,3.83
26-02-2017,190585000,3.83
27-02-2017,190522000,3.8
28-02-2017,190098000,3.77
01-03-2017,188623000,3.8
02-03-2017,189785000,3.92
03-03-2017,196144000,3.92
04-03-2017,195730000,3.88
05-03-2017,193336000,3.9
06-03-2017,193846000,3.92
07-03-2017,194991000,3.82
08-03-2017,190712000,3.78
09-03-2017,188704000,3.84
10-03-2017,191858000,3.75
11-03-2017,188428000,3.8
12-03-2017,189874000,3.84
13-03-2017,192979000,4.17
14-03-2017,209412000,4.06
15-03-2017,203099000,4.16
16-03-2017,208204000,4.24
17-03-2017,212582000,4.06
18-03-2017,202967000,3.97
19-03-2017,198801000,3.96
20-03-2017,198555000,4.03
21-03-2017,202923000,4.01
22-03-2017,200521000,3.94
23-03-2017,197783000,3.98
24-03-2017,199924000,4.08
25-03-2017,205034000,4.07
26-03-2017,204723000,4.06
27-03-2017,204793000,4.08
28-03-2017,205012000,4.16
29-03-2017,208728000,4.19
30-03-2017,210627000,6.98
31-03-2017,353860000,6.67
01-04-2017,335526000,6.88
02-04-2017,346209000,7.74
03-04-2017,390802000,8.07
04-04-2017,409793000,8.29
05-04-2017,416432000,11.09
06-04-2017,561808000,10.25
07-04-2017,516533000,9.37
08-04-2017,471828000,9.92
09-04-2017,499887000,8.71
10-04-2017,440977000,8.92
11-04-2017,450735000,8.85
12-04-2017,446780000,10.79
13-04-2017,544751000,10.15
14-04-2017,512838000,10.39
15-04-2017,523678000,10.79
16-04-2017,544263000,10.71
17-04-2017,536824000,10.42
18-04-2017,528060000,10.32
19-04-2017,522923000,9.66
20-04-2017,488681000,10.33
21-04-2017,522165000,11.23
22-04-2017,567234000,13.06
23-04-2017,663271000,13.94
24-04-2017,709098000,14.97
25-04-2017,760872000,15.21
26-04-2017,772651000,14.85
27-04-2017,754472000,14.62
28-04-2017,741933000,14.34
29-04-2017,732129000,15.74
30-04-2017,798743000,15.71
01-05-2017,799215000,15.92
02-05-2017,810373000,15.89
03-05-2017,808247000,21.04
04-05-2017,1071840000,23.39
05-05-2017,1195810000,26.27
06-05-2017,1348870000,28.16
07-05-2017,1437700000,30.29
08-05-2017,1548860000,28.96
09-05-2017,1477510000,33.58
10-05-2017,1699070000,31.96
11-05-2017,1666830000,30.72
12-05-2017,1579240000,27.45
13-05-2017,1390150000,28.91
14-05-2017,1486220000,28.89
15-05-2017,1476700000,25.37
16-05-2017,1295310000,23.33
17-05-2017,1188550000,25.4
18-05-2017,1287210000,28.36
19-05-2017,1447310000,27.7
20-05-2017,1416690000,27.51
21-05-2017,1406610000,26.3
22-05-2017,1338680000,25.38
23-05-2017,1296170000,32.11
24-05-2017,1645910000,34.45
25-05-2017,1766650000,29.9
26-05-2017,1554680000,23.75
27-05-2017,1200170000,23.74
28-05-2017,1231490000,24.22
29-05-2017,1248110000,25.21
30-05-2017,1299460000,24.14
31-05-2017,1247240000,25.3
01-06-2017,1301540000,28.8
02-06-2017,1484470000,28.94
03-06-2017,1492070000,27.66
04-06-2017,1421270000,27.94
05-06-2017,1444260000,30.84
06-06-2017,1586150000,30.55
07-06-2017,1572550000,28.39
08-06-2017,1460360000,30.21
09-06-2017,1553630000,29.68
10-06-2017,1528070000,30.44
11-06-2017,1570430000,33.22
12-06-2017,1711460000,29.5
13-06-2017,1519410000,30.64
14-06-2017,1584220000,30.22
15-06-2017,1557670000,30.22
16-06-2017,1561380000,35.7
17-06-2017,1866370000,47.65
18-06-2017,2447790000,46.04
19-06-2017,2382490000,50.32
