Date,Marketcap(USD),Price(USD)
02-02-2017,112934000,16.31
03-02-2017,115306000,17.52
04-02-2017,124173000,17.62
05-02-2017,124154000,17.06
06-02-2017,120894000,17.12
07-02-2017,121211000,17.14
08-02-2017,121430000,17.35
09-02-2017,122937000,16.58
10-02-2017,117570000,16.67
11-02-2017,118350000,17.15
12-02-2017,121667000,16.91
13-02-2017,119800000,16.88
14-02-2017,119626000,18.15
15-02-2017,128554000,19.63
16-02-2017,139499000,19.52
17-02-2017,138366000,20
18-02-2017,142505000,21.41
19-02-2017,152571000,22.55
20-02-2017,160743000,21.59
21-02-2017,153668000,21.25
22-02-2017,151098000,22.12
23-02-2017,157238000,25.22
24-02-2017,178372000,26.2
25-02-2017,186832000,26.76
26-02-2017,189992000,28.11
27-02-2017,200212000,28.18
28-02-2017,201326000,32.51
01-03-2017,232593000,42.54
02-03-2017,302911000,42.44
03-03-2017,314220000,47.38
04-03-2017,336628000,43.38
05-03-2017,307986000,42.31
06-03-2017,301783000,46.5
07-03-2017,332936000,45.68
08-03-2017,325712000,42.33
09-03-2017,302128000,51.06
10-03-2017,365561000,50.42
11-03-2017,360708000,72.93
12-03-2017,520543000,77.08
13-03-2017,551120000,74.61
14-03-2017,534395000,88.24
15-03-2017,638133000,95.09
16-03-2017,683888000,89.81
17-03-2017,642049000,99.14
18-03-2017,724518000,109.24
19-03-2017,771412000,108.23
20-03-2017,776036000,100.05
21-03-2017,717014000,95.38
22-03-2017,686887000,101.51
23-03-2017,727130000,101.43
24-03-2017,729578000,97.27
25-03-2017,696738000,94.33
26-03-2017,677736000,93.63
27-03-2017,673078000,85.66
28-03-2017,606012000,87.89
29-03-2017,631616000,84.4
30-03-2017,607325000,79.61
31-03-2017,572175000,74.91
01-04-2017,534806000,68.6
02-04-2017,491501000,57.07
03-04-2017,408589000,61.76
04-04-2017,456882000,69.07
05-04-2017,498097000,74.37
06-04-2017,537046000,66.53
07-04-2017,479637000,66.19
08-04-2017,476916000,67.75
09-04-2017,489452000,64.7
10-04-2017,467460000,61.31
11-04-2017,442808000,60.53
12-04-2017,438679000,68
13-04-2017,492196000,72.57
14-04-2017,524892000,70.77
15-04-2017,512034000,75.01
16-04-2017,542961000,75.34
17-04-2017,544956000,75.64
18-04-2017,547341000,72.83
19-04-2017,526688000,72.28
20-04-2017,522642000,71.45
21-04-2017,517733000,70.88
22-04-2017,513274000,71.22
23-04-2017,515838000,68.89
24-04-2017,499641000,72.2
25-04-2017,523445000,72.07
26-04-2017,522517000,71.53
27-04-2017,518868000,78.17
28-04-2017,566202000,79.49
29-04-2017,578278000,94.95
30-04-2017,684050000,91.55
01-05-2017,664545000,88.12
02-05-2017,638649000,86.24
03-05-2017,626662000,90.08
04-05-2017,655081000,92.8
05-05-2017,675223000,99.01
06-05-2017,721874000,99.76
07-05-2017,724648000,106.28
08-05-2017,775962000,101.1
09-05-2017,736626000,93.3
10-05-2017,676854000,91.52
11-05-2017,667796000,91.54
12-05-2017,669279000,86.8
13-05-2017,632643000,89.35
14-05-2017,653270000,89.8
15-05-2017,655801000,91.49
16-05-2017,669083000,85.59
17-05-2017,625221000,83.26
18-05-2017,607656000,89.73
19-05-2017,656468000,98.98
20-05-2017,722090000,100.77
21-05-2017,736086000,102.03
22-05-2017,743266000,120.73
23-05-2017,880270000,138.07
24-05-2017,1017440000,144.63
25-05-2017,1047690000,119.63
26-05-2017,868031000,112.94
27-05-2017,829763000,99.2
28-05-2017,735254000,108.14
29-05-2017,790454000,117.26
30-05-2017,858404000,121.13
31-05-2017,892886000,135.97
01-06-2017,1000300000,136.08
02-06-2017,1005050000,145.29
03-06-2017,1065460000,144.29
04-06-2017,1055520000,143.35
05-06-2017,1053050000,144.92
06-06-2017,1068210000,145.19
07-06-2017,1067130000,140.36
08-06-2017,1034920000,145.03
09-06-2017,1065470000,148.93
10-06-2017,1096550000,152
11-06-2017,1117860000,188.27
12-06-2017,1376490000,170.78
13-06-2017,1260370000,183.97
14-06-2017,1351820000,163.21
15-06-2017,1201030000,163.35
16-06-2017,1205110000,166.25
17-06-2017,1224440000,178.13
18-06-2017,1315450000,193.53
19-06-2017,1424100000,201.26
20-06-2017,1484670000,187.91
21-06-2017,1384740000,178.81
22-06-2017,1322590000,177.06
23-06-2017,1306270000,189.26
24-06-2017,1397190000,182.62
25-06-2017,1346200000,172.88
26-06-2017,1277190000,162.89
27-06-2017,1203160000,176.02
28-06-2017,1307820000,184.13
29-06-2017,1353710000,177.17
30-06-2017,1310690000,181.77
01-07-2017,1343300000,165.71
02-07-2017,1224910000,173.49
03-07-2017,1282650000,180.79
04-07-2017,1333710000,183.06
05-07-2017,1354980000,209.48
06-07-2017,1558330000,213.17
07-07-2017,1576370000,196.46
08-07-2017,1454000000,209.2
09-07-2017,1554430000,195.64
10-07-2017,1453580000,174.4
11-07-2017,1288140000,165.73
12-07-2017,1224620000,179.89
13-07-2017,1334790000,171.24
14-07-2017,1273130000,161.08
15-07-2017,1197760000,140.14
16-07-2017,1037360000,132.64
17-07-2017,983325000,153.85
18-07-2017,1148330000,158.07
19-07-2017,1174490000,155.65
20-07-2017,1151530000,188.59
21-07-2017,1402760000,185.86
22-07-2017,1384830000,195.31
23-07-2017,1451390000,191.03
24-07-2017,1422690000,204.02
25-07-2017,1519340000,195.52
26-07-2017,1456070000,194.37
27-07-2017,1453370000,194.09
28-07-2017,1445720000,185.61
29-07-2017,1379860000,185.25
30-07-2017,1382710000,172.82
31-07-2017,1291390000,178.51
01-08-2017,1336810000,184.75
02-08-2017,1381630000,182.93
03-08-2017,1367150000,186.99
04-08-2017,1395520000,186.97
05-08-2017,1397060000,193.83
06-08-2017,1447880000,189.13
07-08-2017,1413570000,197.19
08-08-2017,1470120000,203.84
09-08-2017,1524040000,199.21
10-08-2017,1493200000,200.96
11-08-2017,1502990000,205.79
12-08-2017,1543820000,205.49
13-08-2017,1539490000,198.17
14-08-2017,1485500000,199.44
15-08-2017,1496920000,203.52
16-08-2017,1527710000,232.02
17-08-2017,1736000000,233.62
18-08-2017,1753350000,224.28
19-08-2017,1685040000,288.7
20-08-2017,2162080000,294.2
21-08-2017,2204480000,279.58
22-08-2017,2103900000,291.5
23-08-2017,2180790000,292.57
24-08-2017,2200130000,315.37
25-08-2017,2388160000,315.89
26-08-2017,2369010000,399.85
27-08-2017,3009530000,362.89
28-08-2017,2725220000,356.78
29-08-2017,2685760000,359.55
30-08-2017,2704790000,368.34
31-08-2017,2773030000,378.32
01-09-2017,2844110000,393.35
02-09-2017,2962400000,350.17
03-09-2017,2670270000,356.39
04-09-2017,2689920000,316.13
05-09-2017,2388710000,327.23
06-09-2017,2474300000,347.17
07-09-2017,2612980000,343.91
08-09-2017,2591570000,333.21
09-09-2017,2527540000,323.14
10-09-2017,2439780000,320.11
11-09-2017,2431230000,318.4
12-09-2017,2404680000,325.97
13-09-2017,2452930000,301.29
14-09-2017,2275100000,236.24
15-09-2017,1784040000,284.36
16-09-2017,2150800000,298.86
17-09-2017,2257850000,313.84
18-09-2017,2359070000,333
19-09-2017,2524200000,324.26
20-09-2017,2450240000,342.43
21-09-2017,2591910000,330.05
22-09-2017,2507060000,346.58
23-09-2017,2626220000,350.79
24-09-2017,2654460000,331.85
25-09-2017,2505380000,345.09
26-09-2017,2615520000,339.1
27-09-2017,2567810000,346.43
