Date,Marketcap(USD),Price(USD)
26-01-2017,3724990,1.57
27-01-2017,5881160,1.34
28-01-2017,4981630,1.53
29-01-2017,5626670,1.95
30-01-2017,6925250,1.84
31-01-2017,6802470,2.29
01-02-2017,8288660,2.46
02-02-2017,9325390,2.6
03-02-2017,9659720,2.61
04-02-2017,9812420,3.37
05-02-2017,12544800,3.06
06-02-2017,11352700,2.6
07-02-2017,9701580,2.6
08-02-2017,9754980,2.57
09-02-2017,9695360,2.77
10-02-2017,10568500,2.57
11-02-2017,9781950,2.5
12-02-2017,9442600,2.39
13-02-2017,9074080,2.67
14-02-2017,9974470,2.42
15-02-2017,9141590,2.38
16-02-2017,9256170,2.2
17-02-2017,8402380,2.08
18-02-2017,7997430,1.84
19-02-2017,7093410,2.01
20-02-2017,7714650,1.88
21-02-2017,7202220,1.74
22-02-2017,6863120,2.12
23-02-2017,8129910,2.06
24-02-2017,7974190,2.29
25-02-2017,8880020,2.29
26-02-2017,8875570,2.4
27-02-2017,9093080,2.31
28-02-2017,9031420,2.15
01-03-2017,8412630,2.02
02-03-2017,7953900,2.09
03-03-2017,8220470,2.07
04-03-2017,8152800,2.15
05-03-2017,8451920,2.08
06-03-2017,8245290,2.29
07-03-2017,9009560,3.31
08-03-2017,13102700,2.8
09-03-2017,11179700,3.09
10-03-2017,12349800,3.13
11-03-2017,12450600,3.27
12-03-2017,13110100,4.62
13-03-2017,19933900,5.06
14-03-2017,20299800,4.64
15-03-2017,18614300,5.34
16-03-2017,21379400,5.18
17-03-2017,20773400,4.83
18-03-2017,19672000,6.23
19-03-2017,25517900,6.38
20-03-2017,25696900,6.14
21-03-2017,24969500,5.76
22-03-2017,23476000,5.91
23-03-2017,24379400,7.81
24-03-2017,31348600,7.3
25-03-2017,30441500,10.02
26-03-2017,42224800,15.19
27-03-2017,61324700,10.79
28-03-2017,45080700,12.81
29-03-2017,53626700,12.24
30-03-2017,51143700,12.25
31-03-2017,55277700,12.67
01-04-2017,57887700,12.8
02-04-2017,58887100,11.08
03-04-2017,50723600,10.83
04-04-2017,49787600,10.02
05-04-2017,46009800,10.31
06-04-2017,47454900,9.69
07-04-2017,44938800,8.86
08-04-2017,40994700,11.18
09-04-2017,52201500,11.99
10-04-2017,55567300,11.52
11-04-2017,53672100,11.4
12-04-2017,53028900,11.51
13-04-2017,53712000,10.99
14-04-2017,51830200,11.05
15-04-2017,51613100,12.16
16-04-2017,56916900,12.18
17-04-2017,57037200,12.03
18-04-2017,56726800,12.13
19-04-2017,57014000,13.43
20-04-2017,63237700,14.22
21-04-2017,67042300,14.85
22-04-2017,70369300,14.77
23-04-2017,69918500,16.52
24-04-2017,78587300,16.57
25-04-2017,77983700,15.21
26-04-2017,70895400,16.47
27-04-2017,77547500,14.55
28-04-2017,69382900,15.28
29-04-2017,73202100,15.65
30-04-2017,74906700,15.85
01-05-2017,75566600,15.16
02-05-2017,71644400,13.8
03-05-2017,66135900,14.37
04-05-2017,69259600,15.25
05-05-2017,73881300,15.95
06-05-2017,76993500,17.02
07-05-2017,82327700,17.05
08-05-2017,83456300,17.23
09-05-2017,83549800,15.47
10-05-2017,75973900,16.53
11-05-2017,80420700,15.34
12-05-2017,74261500,15.25
13-05-2017,74203300,18.79
14-05-2017,92138000,17.16
15-05-2017,83805300,15.55
16-05-2017,76315800,15.27
17-05-2017,75257100,21.14
18-05-2017,105225000,21.1
19-05-2017,103110000,20.01
20-05-2017,97566500,20.25
21-05-2017,99768100,20.33
22-05-2017,100785000,20.05
23-05-2017,98437000,22.31
24-05-2017,111877000,24.37
25-05-2017,119296000,21.92
26-05-2017,108815000,21.4
27-05-2017,106838000,18.9
28-05-2017,94770500,20.04
29-05-2017,99860900,20.83
30-05-2017,104238000,20.3
31-05-2017,101976000,21.8
01-06-2017,110146000,24.95
02-06-2017,125482000,30.7
03-06-2017,154295000,35.21
04-06-2017,177458000,32.1
05-06-2017,162002000,35.05
06-06-2017,176868000,34.58
07-06-2017,174967000,32.62
08-06-2017,165901000,34.66
09-06-2017,175431000,42.12
10-06-2017,215444000,41.08
11-06-2017,208689000,41.05
12-06-2017,208041000,33.73
13-06-2017,170407000,36.87
14-06-2017,187546000,31.22
15-06-2017,158782000,30.18
16-06-2017,154382000,32.57
17-06-2017,166673000,31.83
18-06-2017,164444000,41.95
19-06-2017,216323000,40.05
20-06-2017,206818000,35.71
21-06-2017,183928000,37.04
22-06-2017,190323000,43.12
23-06-2017,221303000,45.55
24-06-2017,238976000,43.29
25-06-2017,223596000,38.81
26-06-2017,200625000,35.26
27-06-2017,183242000,36.26
28-06-2017,190554000,36.09
29-06-2017,187711000,34.2
30-06-2017,178839000,32.26
01-07-2017,169093000,29.21
02-07-2017,153510000,29.8
03-07-2017,155746000,31.86
04-07-2017,166912000,36.26
05-07-2017,190855000,37.33
06-07-2017,196079000,35.16
07-07-2017,185385000,29.89
08-07-2017,157260000,36.88
09-07-2017,193186000,33.11
10-07-2017,175724000,24.58
11-07-2017,130152000,25.44
12-07-2017,134895000,28.19
13-07-2017,150033000,25.67
14-07-2017,136178000,22.55
15-07-2017,119067000,20.21
16-07-2017,106193000,19.13
17-07-2017,100370000,24.42
